1119.11:42:52.791 1119.11:43:52.955 5     10.0.1.1        5201  4     10.0.2.1        57318 6   0  5435       8107260
1119.11:42:52.815 1119.11:43:52.987 4     10.0.2.1        57318 5     10.0.1.1        5201  6   0  3108       165908
1119.11:43:53.611 1119.11:44:51.707 5     10.0.1.1        5201  4     10.0.2.1        57318 6   1  5234       7805704
1119.11:43:53.631 1119.11:44:51.703 4     10.0.2.1        57318 5     10.0.1.1        5201  6   1  3014       160480
1119.11:44:51.379 1119.11:44:51.735 4     10.0.2.1        57316 5     10.0.1.1        5201  6   1  9          768
1119.11:44:51.391 1119.11:44:51.707 5     10.0.1.1        5201  4     10.0.2.1        57316 6   1  7          661
1119.11:45:05.967 1119.11:46:06.183 4     10.0.2.2        36704 5     10.0.1.2        3000  6   2  2424       143921
1119.11:45:05.975 1119.11:46:06.187 5     10.0.1.2        3000  4     10.0.2.2        36704 6   2  6887       10306471
1119.11:45:51.711 1119.11:45:52.031 4     10.0.2.1        57326 5     10.0.1.1        5201  6   2  9          653
1119.11:45:51.719 1119.11:45:52.011 5     10.0.1.1        5201  4     10.0.2.1        57326 6   2  8          428
1119.11:46:06.211 1119.11:46:14.815 4     10.0.2.2        36704 5     10.0.1.2        3000  6   5  351        20548
1119.11:46:06.219 1119.11:46:14.791 5     10.0.1.2        3000  4     10.0.2.2        36704 6   0  662        991490
1119.11:45:51.859 1119.11:46:52.211 4     10.0.2.1        57328 5     10.0.1.1        5201  6   2  2902       163009
1119.11:45:51.871 1119.11:46:52.179 5     10.0.1.1        5201  4     10.0.2.1        57328 6   2  5428       8139112
1119.11:45:51.903 1119.11:46:52.211 4     10.0.2.1        57330 5     10.0.1.1        5201  6   2  2673       150701
1119.11:45:51.923 1119.11:46:52.179 5     10.0.1.1        5201  4     10.0.2.1        57330 6   2  4889       7330612
1119.11:46:14.803 1119.11:47:14.551 4     10.0.2.2        36712 5     10.0.1.2        3000  6   2  1527       93589
1119.11:46:14.815 1119.11:47:14.527 5     10.0.1.2        3000  4     10.0.2.2        36712 6   2  2771       4138148
1119.11:46:52.219 1119.11:47:53.199 5     10.0.1.1        5201  4     10.0.2.1        57330 6   0  5702       8553000
1119.11:46:52.219 1119.11:47:53.199 5     10.0.1.1        5201  4     10.0.2.1        57328 6   0  5537       8305500
1119.11:46:52.247 1119.11:47:53.195 4     10.0.2.1        57330 5     10.0.1.1        5201  6   0  2837       159316
1119.11:46:52.247 1119.11:47:53.195 4     10.0.2.1        57328 5     10.0.1.1        5201  6   0  2791       157208
1119.11:47:17.059 1119.11:48:17.191 4     10.0.2.2        36712 5     10.0.1.2        3000  6   0  1510       91658
1119.11:47:17.063 1119.11:48:17.203 5     10.0.1.2        3000  4     10.0.2.2        36712 6   0  2680       4010264
1119.11:47:53.219 1119.11:48:52.371 4     10.0.2.1        57328 5     10.0.1.1        5201  6   4  2867       160840
1119.11:47:53.219 1119.11:48:52.343 4     10.0.2.1        57330 5     10.0.1.1        5201  6   4  2890       162528
1119.11:47:53.231 1119.11:48:52.343 5     10.0.1.1        5201  4     10.0.2.1        57328 6   0  5352       8028000
1119.11:47:53.231 1119.11:48:52.291 5     10.0.1.1        5201  4     10.0.2.1        57330 6   0  5274       7911000
1119.11:48:51.983 1119.11:48:52.383 4     10.0.2.1        57326 5     10.0.1.1        5201  6   1  9          888
1119.11:48:51.987 1119.11:48:52.359 5     10.0.1.1        5201  0     10.0.2.1        57326 6   1  8          832
1119.11:48:17.223 1119.11:49:17.043 4     10.0.2.2        36712 5     10.0.1.2        3000  6   0  1977       115241
1119.11:48:17.235 1119.11:49:17.031 5     10.0.1.2        3000  4     10.0.2.2        36712 6   0  4540       6797236
1119.11:49:18.571 1119.11:49:56.195 4     10.0.2.2        36712 5     10.0.1.2        3000  6   5  1842       106662
1119.11:49:52.359 1119.11:49:52.791 4     10.0.2.1        57336 5     10.0.1.1        5201  6   2  9          653
1119.11:49:52.371 1119.11:49:52.739 5     10.0.1.1        5201  4     10.0.2.1        57336 6   2  8          428
1119.11:49:18.575 1119.11:49:56.167 5     10.0.1.2        3000  4     10.0.2.2        36712 6   0  6070       9098088
1119.11:49:52.515 1119.11:50:53.175 4     10.0.2.1        57338 5     10.0.1.1        5201  6   2  2249       127569
1119.11:49:52.539 1119.11:50:53.187 5     10.0.1.1        5201  4     10.0.2.1        57338 6   2  3815       5719612
1119.11:49:52.575 1119.11:50:53.207 4     10.0.2.1        57340 5     10.0.1.1        5201  6   2  2145       121421
1119.11:49:52.583 1119.11:50:53.175 5     10.0.1.1        5201  4     10.0.2.1        57340 6   2  3561       5338612
1119.11:49:52.627 1119.11:50:53.175 4     10.0.2.1        57342 5     10.0.1.1        5201  6   2  2146       122041
1119.11:49:52.639 1119.11:50:53.203 5     10.0.1.1        5201  4     10.0.2.1        57342 6   2  3590       5382112
1119.11:49:56.167 1119.11:50:56.123 4     10.0.2.2        36724 5     10.0.1.2        3000  6   2  1959       118125
1119.11:49:56.179 1119.11:50:56.127 5     10.0.1.2        3000  4     10.0.2.2        36724 6   2  3545       5296411
1119.11:50:53.219 1119.11:51:54.203 4     10.0.2.1        57342 5     10.0.1.1        5201  6   0  2104       118900
1119.11:50:53.219 1119.11:51:54.203 4     10.0.2.1        57338 5     10.0.1.1        5201  6   0  2271       128768
